Date,NewCase,CumCases,NewDeaths,Deaths
10/03/2020,9009.414268266739,52286.7778770052,6.240849119590494,36.19235262045489
11/03/2020,10883.661042483947,63170.43891948914,7.595565392637917,43.787918013092806
12/03/2020,13141.243183185412,76311.68210267456,9.218992481438704,53.00691049453151
13/03/2020,15862.85917998732,92174.54128266187,11.127091998577095,64.13400249310861
14/03/2020,19148.079228181952,111322.62051084382,13.390376801248909,77.52437929435752
15/03/2020,23115.35459892432,134437.97510976816,16.12782640998492,93.65220570434244
16/03/2020,27903.056638807633,162341.0317485758,19.479969592416133,113.13217529675856
17/03/2020,33673.79707986579,196014.8288284416,23.578009386072537,136.71018468283108
18/03/2020,40621.94518757571,236636.7740160173,28.54146764694324,165.25165232977432
19/03/2020,48982.66357487849,285619.4375908958,34.5025296079385,199.75418193771281
20/03/2020,59039.57399193994,344659.01158283575,41.65195578283604,241.40613772054888
21/03/2020,71130.46305254068,415789.4746353764,50.26047529413982,291.6666130146887
22/03/2020,85652.25729786522,501441.73193324165,60.67700649715496,352.34361951184366
23/03/2020,103067.80303073903,604509.5349639807,73.30791143244892,425.65153094429263
24/03/2020,123915.71804490889,728425.2530088895,88.59925322352387,514.2507841678165
25/03/2020,148821.7985558943,877247.0515647838,107.05703475061895,621.3078189184354
26/03/2020,178508.29974703654,1055755.3513118206,129.29408356770165,750.601902486137
27/03/2020,213797.40442123782,1269552.7557330583,156.08648813499286,906.6883906211299
28/03/2020,151816.83355333927,1421369.5892863977,188.40790548801584,1095.0962961091457
29/03/2020,68176.94356305602,1489546.532849454,227.43698433178926,1322.533280440935
30/03/2020,81782.1421262024,1571328.6749756567,274.55844494887134,1597.091725389806
31/03/2020,97956.19201959117,1669284.8669952478,331.3911177163853,1928.4828431061915
01/04/2020,115316.39880340469,1784601.2657986528,399.8525941052319,2328.3354372114236
02/04/2020,112941.20700835946,1897542.4728070123,482.25281141120615,2810.5882486226296
03/04/2020,104097.20139590053,2001639.674202913,581.3870897928676,3391.9753384154974
04/04/2020,93637.46497218811,2095277.1391751012,700.6076254123326,4092.58296382783
05/04/2020,81242.70330109543,2176519.8424761966,843.8784796325326,4936.461443460363
06/04/2020,67006.40830379013,2243526.250779987,1015.8357205614421,5952.297164021805
07/04/2020,68669.57875449519,2312195.8295344817,1221.8774827145232,7174.174646736328
08/04/2020,72309.51607589974,2384505.3456103816,1468.282703236693,8642.457349973021
09/04/2020,72352.09251472726,2456857.438125109,1762.3286562758647,10404.786006248887
10/04/2020,68132.07223050355,2524989.5103556127,2112.3638591633085,12517.149865412197
11/04/2020,61114.49540209246,2586104.005757705,2527.8041775668735,15044.954042979072
12/04/2020,55544.26903036249,2641648.274788067,672.6205413072892,15717.57458428636
13/04/2020,51626.34944229896,2693274.624230366,807.3683486860635,16524.942932972423
14/04/2020,49058.67752895599,2742333.301759322,967.7962834525928,17492.73921642502
15/04/2020,47578.49615324967,2789911.797912572,1158.2071929888689,18650.94640941389
16/04/2020,46474.679294177084,2836386.4772067494,1263.1403051298125,19914.0867145437
17/04/2020,44165.01854758364,2880551.4957543337,1175.1493986835528,21089.236113227253
18/04/2020,41082.098276719276,2921633.594031053,1071.2009107969577,22160.43702402421
19/04/2020,37921.16262532918,2959554.7566563822,948.1358085012075,23108.572832525417
20/04/2020,35381.24549016817,2994936.0021465505,799.4251400306157,23907.997972556033
21/04/2020,33541.24143959483,3028477.2435861453,709.9562474970256,24617.95422005306
22/04/2020,32017.31588199879,3060494.559468144,766.5106142410807,25384.464834294144
23/04/2020,30527.865143670446,3091022.424611815,787.202452029157,26171.6672863233
24/04/2020,28931.772087970836,3119954.196699786,765.7028902528884,26937.370176576187
25/04/2020,27195.733248657078,3147149.929948443,698.4073380131575,27635.777514589347
26/04/2020,25442.72030898437,3172592.6502574272,628.154940037379,28263.932454626723
27/04/2020,23851.19009924485,3196443.8403566726,577.251241524518,28841.183696151238
28/04/2020,22486.22705321959,3218930.0674098926,542.6307921367186,29383.814488287957
29/04/2020,21303.42922577474,3240233.496635667,520.8422104770009,29904.656698764957
30/04/2020,20189.54185702828,3260423.0384926954,509.51398137079616,30414.17068013575
01/05/2020,19076.82314998577,3279499.861642681,491.4356429545233,30905.606323090276
02/05/2020,17964.484273574602,3297464.345916256,461.3710717285521,31366.97739481883
03/05/2020,16885.843844854004,3314350.1897611097,426.65269891290114,31793.630093731732
04/05/2020,15876.644993243091,3330226.8347543525,395.0646835996612,32188.69477733139
05/05/2020,14956.461532319167,3345183.296286672,371.87283310675616,32560.56761043815
06/05/2020,14116.919913443875,3359300.2162001156,354.16160201481233,32914.72921245296
07/05/2020,13333.079293511177,3372633.2954936265,338.16121335240683,33252.89042580537
08/05/2020,12581.841648364776,3385215.1371419914,321.5783732027894,33574.46879900816
