Date,NewCase,CumCases,NewDeaths,Deaths
10/03/2020,9234.304201215135,54537.49101756674,6.7373991334207535,40.06999146071613
11/03/2020,11115.492867536994,65652.98388510373,8.17147960740029,48.24147106811642
12/03/2020,13372.965137837817,79025.94902294155,9.885532614831314,58.12700368294773
13/03/2020,16084.15589442441,95110.10491736597,11.891232991917748,70.01823667486548
14/03/2020,19344.68797425394,114454.79289161992,14.258157728412515,84.27639440327799
15/03/2020,23268.021815216296,137722.81470683622,17.10823178924345,101.38462619252144
16/03/2020,27985.946242684542,165708.76094952077,20.586511086671877,121.97113727919331
17/03/2020,33652.31558159107,199361.07653111184,24.826834985705894,146.79797226489924
18/03/2020,40450.067220521596,239811.14375163344,29.947513061592367,176.74548532649158
19/03/2020,48599.864986245615,288411.00873787905,36.07566427667757,212.82114960316915
20/03/2020,58367.312720766044,346778.32145864505,43.39613611150834,256.2172857146775
21/03/2020,70067.9751230439,416846.296581689,52.17477546789793,308.3920611825754
22/03/2020,84071.35146156949,500917.6480432585,62.75691999114395,371.14898117371933
23/03/2020,100806.43121923882,601724.0792624975,75.54435369081955,446.6933348645389
24/03/2020,120770.32090227418,722494.4001647716,90.97351346347654,537.6668483280154
25/03/2020,144538.650130394,867033.0502951657,109.53323344588841,647.2000817739038
26/03/2020,172774.2078726535,1039807.2581678192,131.8112026199458,779.0112843938495
27/03/2020,206230.21610695127,1246037.4742747704,158.55145598650182,937.5627403803513
28/03/2020,245746.19371135032,1491783.6679861208,190.68896203336698,1128.2517024137182
29/03/2020,292235.782144136,1784019.4501302566,229.35471484502722,1357.6064172587455
30/03/2020,346665.37236187176,2130684.8224921282,275.8716678698293,1633.4780851285748
31/03/2020,410019.35131320986,2540704.173805338,331.776499168501,1965.2545842970758
01/04/2020,483244.4464350362,3023948.620240374,398.8782446952904,2364.1328289923663
02/04/2020,567163.6307636048,3591112.2510039792,479.34719680874673,2843.480025801113
03/04/2020,662351.1085483083,4253463.3595522875,575.8036419804781,3419.283667781591
04/04/2020,768963.5635273997,5022426.923079687,691.3834034864802,4110.667071268071
05/04/2020,886528.2579262754,5908955.181005962,829.7837197628897,4940.450791030959
06/04/2020,1013695.7628154759,6922650.943821437,995.3111154162932,5935.761906447253
07/04/2020,1147976.144699552,8070627.08852099,1192.957883324939,7128.719789772192
08/04/2020,1285494.8991163892,9356121.98763738,1428.5085429048968,8557.228332677088
09/04/2020,1420829.1371994368,10776951.124836817,1708.6483570802175,10265.876689757304
10/04/2020,1547010.1814635836,12323961.306300402,2041.0315582652522,12306.908248022557
11/04/2020,1655793.623770862,13979754.930071263,2434.278354632411,14741.186602654967
12/04/2020,1738284.8357860958,15718039.765857358,2897.887163252776,17639.073765907746
